ID,c,r_c,r_t,M_V,m_tot,M_bol,M_U,M_B,M_R,M_I,M_J,M_H,M_Ks
938,0.52,52.28,175.0,-7.398,139743.17,-7.957,-6.612,-6.664,-7.885,-8.369,-9.03,-9.537,-9.627
939,1.76,3.02,175.0,-9.201,784221.56,-9.752,-8.468,-8.494,-9.672,-10.144,-10.784,-11.278,-11.359
940,0.87,21.41,157.56,-6.842,87620.51,-7.401,-6.063,-6.11,-7.328,-7.814,-8.474,-8.978,-9.068
941,1.51,3.28,105.66,-4.385,8916.88,-4.963,-3.591,-3.642,-4.88,-5.375,-6.055,-6.577,-6.668
942,0.52,32.7,109.19,-3.874,5730.19,-4.414,-3.125,-3.161,-4.348,-4.823,-5.468,-5.956,-6.043
943,1.01,11.22,114.84,-3.982,5902.96,-4.52,-3.231,-3.27,-4.455,-4.93,-5.574,-6.063,-6.149
944,1.14,7.67,105.6,-5.781,34186.01,-6.312,-5.064,-5.086,-6.246,-6.714,-7.347,-7.825,-7.911
945,1.26,9.7,175.0,-6.716,78669.93,-7.273,-5.944,-5.989,-7.2,-7.685,-8.343,-8.846,-8.935
946,1.19,11.2,175.0,-7.163,110146.21,-7.736,-6.405,-6.445,-7.646,-8.13,-8.791,-9.3,-9.39
947,1.59,0.61,24.01,-2.236,1403.14,-2.749,-1.567,-1.563,-2.688,-3.144,-3.756,-4.213,-4.296
948,1.83,2.61,175.0,-9.602,1140315.62,-10.156,-8.874,-8.897,-10.072,-10.539,-11.182,-11.678,-11.759
949,1.71,1.0,51.38,-2.239,1353.62,-2.751,-1.562,-1.57,-2.689,-3.144,-3.757,-4.216,-4.3
950,1.7,3.0,150.79,-7.536,163829.5,-8.098,-6.744,-6.796,-8.025,-8.51,-9.176,-9.686,-9.776
951,1.67,3.72,175.0,-9.438,974319.0,-9.986,-8.693,-8.725,-9.911,-10.382,-11.025,-11.521,-11.602
952,1.13,13.12,175.0,-9.445,953321.69,-9.996,-8.696,-8.732,-9.92,-10.391,-11.038,-11.537,-11.619
953,1.48,2.6,77.74,-3.188,3190.56,-3.723,-2.459,-2.482,-3.658,-4.129,-4.767,-5.249,-5.336
954,1.6,0.9,35.73,-3.391,3483.05,-3.956,-2.588,-2.649,-3.881,-4.371,-5.041,-5.553,-5.643
955,2.09,1.27,156.05,-5.228,20372.54,-5.782,-4.465,-4.505,-5.71,-6.192,-6.849,-7.348,-7.437
956,1.99,1.8,175.0,-9.32,832529.31,-9.887,-8.561,-8.599,-9.8,-10.279,-10.934,-11.44,-11.523
957,1.46,4.93,142.64,-6.438,66243.35,-6.997,-5.813,-5.784,-6.887,-7.341,-7.956,-8.418,-8.503
958,1.01,2.71,27.53,-3.665,4575.71,-4.208,-2.911,-2.954,-4.14,-4.614,-5.263,-5.754,-5.839
959,0.92,16.31,135.35,-6.945,101059.25,-7.493,-6.199,-6.23,-7.422,-7.901,-8.548,-9.042,-9.13
960,1.55,4.94,175.0,-6.375,55444.25,-6.928,-5.624,-5.664,-6.849,-7.322,-7.965,-8.453,-8.54
961,1.59,2.07,80.79,-6.818,83786.56,-7.374,-6.042,-6.088,-7.303,-7.788,-8.446,-8.948,-9.037
962,1.4,1.58,39.67,-4.391,9338.15,-4.929,-3.658,-3.685,-4.862,-5.335,-5.976,-6.461,-6.547
963,1.74,3.16,175.0,-5.262,20710.67,-5.812,-4.506,-4.541,-5.742,-6.222,-6.876,-7.373,-7.461
964,1.41,4.22,109.04,-6.625,71322.13,-7.19,-5.84,-5.889,-7.113,-7.603,-8.269,-8.779,-8.869
965,1.28,9.26,175.0,-9.995,1627581.25,-10.54,-9.252,-9.282,-10.46,-10.931,-11.578,-12.078,-12.158
966,1.17,2.45,35.8,-2.751,2199.78,-3.31,-1.963,-2.017,-3.237,-3.724,-4.386,-4.889,-4.98
967,0.83,9.55,63.87,-5.932,38552.64,-6.472,-5.198,-5.227,-6.403,-6.876,-7.519,-8.006,-8.093
968,0.56,8.39,30.59,-3.25,3276.28,-3.785,-2.502,-2.54,-3.721,-4.195,-4.836,-5.319,-5.406
969,1.02,16.6,175.0,-8.231,304863.91,-8.787,-7.472,-7.51,-8.707,-9.187,-9.843,-10.342,-10.429
970,2.27,0.93,175.0,-9.483,1011829.06,-10.03,-8.743,-8.774,-9.955,-10.422,-11.065,-11.559,-11.641
971,0.73,6.07,32.93,-3.482,3860.97,-4.013,-2.751,-2.78,-3.95,-4.419,-5.054,-5.532,-5.617
972,1.58,4.63,175.0,-5.475,22837.0,-6.035,-4.685,-4.741,-5.962,-6.45,-7.116,-7.625,-7.713
973,0.66,18.96,85.93,-2.029,1363.81,-2.55,-1.362,-1.345,-2.486,-2.946,-3.561,-4.02,-4.105
974,0.96,19.38,175.0,-6.972,98365.93,-7.542,-6.251,-6.267,-7.446,-7.922,-8.566,-9.058,-9.146
975,1.75,0.5,28.41,-2.767,2551.36,-3.283,-2.118,-2.1,-3.217,-3.67,-4.279,-4.734,-4.818
976,1.58,3.35,127.95,-4.223,8420.56,-4.782,-3.468,-3.505,-4.704,-5.187,-5.847,-6.35,-6.44
977,1.55,1.3,45.78,-3.028,3091.96,-3.538,-2.378,-2.362,-3.476,-3.928,-4.534,-4.985,-5.068
978,2.34,0.8,175.0,-6.999,96680.7,-7.555,-6.208,-6.262,-7.485,-7.972,-8.63,-9.133,-9.222
979,1.32,2.27,47.17,-3.485,4345.05,-3.992,-2.838,-2.83,-3.928,-4.376,-4.979,-5.431,-5.514
980,1.95,1.98,175.0,-9.501,1018985.06,-10.052,-8.753,-8.786,-9.975,-10.446,-11.092,-11.59,-11.672
981,1.6,3.09,123.81,-6.95,94722.73,-7.513,-6.167,-6.215,-7.438,-7.927,-8.59,-9.099,-9.189
982,0.87,23.65,175.0,-6.708,67799.16,-7.298,-5.857,-5.937,-7.216,-7.722,-8.413,-8.946,-9.038
983,2.48,0.14,44.08,-2.808,2159.33,-3.343,-2.078,-2.101,-3.277,-3.749,-4.387,-4.868,-4.954
984,1.53,2.15,72.8,-4.555,10469.08,-5.125,-3.754,-3.809,-5.049,-5.542,-6.216,-6.731,-6.821
985,1.86,2.41,175.0,-7.501,159371.36,-8.053,-6.739,-6.779,-7.982,-8.459,-9.114,-9.614,-9.703
986,1.4,6.99,175.0,-8.437,380975.81,-8.987,-7.675,-7.716,-8.915,-9.396,-10.053,-10.552,-10.638
987,1.4,6.0,151.57,-4.159,7346.39,-4.7,-3.395,-3.437,-4.636,-5.113,-5.761,-6.251,-6.338
988,2.02,1.69,175.0,-7.54,167891.2,-8.093,-6.778,-6.817,-8.022,-8.499,-9.155,-9.657,-9.746
989,1.79,0.73,44.87,-4.078,7634.06,-4.611,-3.362,-3.379,-4.544,-5.013,-5.648,-6.126,-6.213
990,1.58,4.04,153.54,-6.714,75141.88,-7.268,-5.939,-5.986,-7.197,-7.681,-8.339,-8.841,-8.929
991,1.27,9.44,175.0,-8.444,371631.16,-9.009,-7.685,-7.724,-8.924,-9.407,-10.069,-10.574,-10.66
992,1.44,4.53,124.53,-4.381,8755.33,-5.199,-3.985,-3.813,-4.796,-5.229,-5.822,-6.28,-6.362
993,2.29,0.89,175.0,-9.069,666741.38,-9.636,-8.33,-8.358,-9.544,-10.021,-10.67,-11.171,-11.255
994,1.34,8.05,175.0,-9.795,1361764.5,-10.334,-9.047,-9.081,-10.263,-10.733,-11.377,-11.874,-11.955
995,0.52,17.29,57.01,-3.593,4431.94,-4.117,-2.89,-2.911,-4.051,-4.514,-5.141,-5.615,-5.7
996,1.23,8.4,142.85,-7.149,117719.61,-7.71,-6.373,-6.417,-7.636,-8.122,-8.781,-9.287,-9.377
997,0.87,10.8,79.38,-2.078,1095.63,-2.646,-1.216,-1.296,-2.581,-3.08,-3.758,-4.271,-4.361
998,1.39,4.46,109.43,-3.365,3489.89,-3.887,-2.666,-2.681,-3.823,-4.285,-4.909,-5.379,-5.463
999,2.08,0.97,116.82,-7.879,221393.58,-8.427,-7.106,-7.15,-8.358,-8.837,-9.494,-9.996,-10.084
1000,0.72,31.07,164.49,-7.028,103862.28,-7.575,-6.338,-6.349,-7.489,-7.955,-8.584,-9.064,-9.15
1001,1.73,3.27,175.0,-8.222,312428.03,-8.769,-7.462,-7.501,-8.698,-9.178,-9.835,-10.334,-10.42
1002,1.46,6.03,175.0,-7.419,154126.97,-7.972,-6.658,-6.695,-7.9,-8.377,-9.031,-9.531,-9.62
1003,1.69,0.8,39.35,-2.776,2313.57,-3.349,-1.97,-2.019,-3.273,-3.768,-4.442,-4.956,-5.047
1004,2.24,0.49,84.56,-2.469,1403.75,-3.051,-1.611,-1.697,-2.973,-3.475,-4.162,-4.69,-4.781
1005,1.9,1.14,91.23,-2.662,1926.89,-3.204,-1.896,-1.941,-3.139,-3.617,-4.266,-4.755,-4.843
1006,1.56,2.24,81.63,-6.223,46265.31,-6.79,-5.409,-5.474,-6.717,-7.209,-7.882,-8.394,-8.483
1007,2.22,1.07,175.0,-8.661,445363.88,-9.218,-7.877,-7.93,-9.145,-9.63,-10.292,-10.798,-10.884
1008,0.65,13.43,60.62,-5.245,19416.73,-5.872,-4.694,-4.627,-5.684,-6.133,-6.751,-7.225,-7.31
1009,0.97,10.52,98.49,-5.473,25404.04,-6.015,-4.729,-4.762,-5.946,-6.421,-7.067,-7.556,-7.643
1010,1.03,2.28,24.49,-2.984,2288.51,-3.539,-2.168,-2.236,-3.473,-3.962,-4.627,-5.131,-5.219
1011,0.83,21.56,144.33,-5.919,36947.87,-6.468,-5.153,-5.195,-6.4,-6.88,-7.534,-8.029,-8.116
1012,1.7,2.15,108.18,-3.66,4417.8,-4.19,-2.918,-2.952,-4.129,-4.6,-5.236,-5.716,-5.801
1013,1.39,2.64,65.21,-4.047,8292.41,-4.552,-3.413,-3.397,-4.488,-4.934,-5.532,-5.977,-6.06
1014,0.75,8.08,45.47,-2.519,1750.49,-3.029,-1.854,-1.857,-2.967,-3.419,-4.028,-4.483,-4.566
1015,1.11,13.71,175.0,-7.519,163051.61,-8.066,-6.766,-6.802,-7.997,-8.472,-9.121,-9.617,-9.705
1016,0.72,4.61,24.08,-2.374,1528.62,-2.896,-1.667,-1.681,-2.835,-3.299,-3.925,-4.394,-4.479
1017,0.82,26.4,175.0,-7.237,127787.58,-7.808,-6.506,-6.526,-7.713,-8.189,-8.837,-9.332,-9.421
1018,1.85,1.65,117.65,-3.727,4195.58,-4.296,-2.874,-2.962,-4.226,-4.724,-5.403,-5.92,-6.011
1019,1.85,0.71,49.88,-2.91,2833.64,-3.414,-2.287,-2.263,-3.35,-3.794,-4.389,-4.832,-4.914
1020,1.79,2.84,175.0,-9.088,695903.88,-9.645,-8.348,-8.377,-9.562,-10.039,-10.684,-11.183,-11.266
1021,0.72,33.37,175.0,-8.746,501020.12,-9.293,-8.002,-8.036,-9.218,-9.694,-10.34,-10.833,-10.917
1022,1.91,2.16,175.0,-6.782,81555.91,-7.338,-6.007,-6.052,-7.266,-7.751,-8.409,-8.911,-9.0
1023,0.78,24.14,144.1,-4.385,9728.34,-4.931,-3.634,-3.666,-4.862,-5.34,-5.988,-6.48,-6.567
1024,1.02,11.86,123.63,-3.683,4681.09,-4.297,-2.825,-2.903,-4.202,-4.718,-5.43,-5.98,-6.075
1025,0.64,15.76,69.11,-3.028,2879.71,-3.619,-2.201,-2.269,-3.531,-4.034,-4.725,-5.257,-5.351
1026,1.49,5.63,175.0,-7.128,112505.32,-7.701,-6.396,-6.418,-7.606,-8.085,-8.737,-9.236,-9.325
1027,1.36,2.86,64.96,-3.606,5056.8,-4.116,-2.946,-2.937,-4.056,-4.509,-5.117,-5.57,-5.653
1028,2.43,0.28,76.56,-2.655,1661.69,-3.216,-1.815,-1.891,-3.15,-3.644,-4.315,-4.825,-4.913
1029,0.62,14.91,62.68,-2.126,1389.77,-2.602,-1.561,-1.525,-2.541,-2.964,-3.524,-3.932,-4.011
1030,0.63,20.16,85.24,-6.164,42212.39,-6.727,-5.366,-5.426,-6.653,-7.143,-7.812,-8.323,-8.412
1031,1.46,1.73,49.48,-3.275,3677.18,-3.82,-2.541,-2.567,-3.748,-4.224,-4.87,-5.361,-5.449
1032,0.54,9.39,32.71,-2.281,1421.62,-2.786,-1.635,-1.625,-2.724,-3.172,-3.772,-4.219,-4.301
1033,0.74,18.85,104.04,-2.918,2665.95,-3.428,-2.26,-2.255,-3.365,-3.817,-4.424,-4.879,-4.962
1034,0.91,21.38,175.0,-9.642,1183930.12,-10.191,-8.916,-8.939,-10.109,-10.576,-11.217,-11.712,-11.792
1035,1.92,2.05,170.83,-5.238,20794.8,-5.766,-4.526,-4.545,-5.701,-6.167,-6.798,-7.273,-7.358
1036,0.52,53.11,175.0,-7.499,152500.2,-8.068,-6.69,-6.751,-7.994,-8.483,-9.155,-9.671,-9.762
1037,0.75,20.35,115.57,-4.921,15578.48,-5.447,-4.226,-4.239,-5.379,-5.842,-6.47,-6.944,-7.029
1038,0.73,18.71,100.39,-5.704,30507.14,-6.249,-4.956,-4.99,-6.179,-6.657,-7.306,-7.798,-7.886
1039,1.12,13.33,175.0,-9.335,875066.0,-9.888,-8.6,-8.628,-9.807,-10.278,-10.921,-11.416,-11.498
1040,2.38,0.24,55.8,-4.636,12723.57,-5.179,-3.896,-3.923,-5.11,-5.586,-6.231,-6.72,-6.807
1041,1.14,12.59,175.0,-9.037,664523.25,-9.586,-8.286,-8.322,-9.513,-9.991,-10.636,-11.132,-11.216
1042,1.21,6.5,105.15,-6.777,81534.51,-7.332,-6.008,-6.051,-7.26,-7.744,-8.4,-8.901,-8.99
1043,1.06,15.15,175.0,-7.882,223914.83,-8.441,-7.09,-7.142,-8.368,-8.854,-9.522,-10.034,-10.122
1044,0.79,12.19,75.24,-2.529,1765.31,-3.028,-1.9,-1.884,-2.966,-3.409,-4.003,-4.444,-4.525
1045,2.16,1.14,165.22,-4.44,10103.8,-4.979,-3.7,-3.731,-4.911,-5.385,-6.027,-6.512,-6.599
1046,1.45,6.27,175.0,-9.586,1124256.88,-10.129,-8.846,-8.875,-10.057,-10.525,-11.166,-11.661,-11.742
1047,1.18,11.6,175.0,-7.718,195039.55,-8.27,-6.951,-6.993,-8.198,-8.677,-9.335,-9.838,-9.927
1048,1.43,1.67,44.56,-4.114,8007.37,-4.636,-3.432,-3.432,-4.571,-5.032,-5.652,-6.118,-6.203
1049,0.72,27.29,143.51,-6.371,54622.7,-6.916,-5.619,-5.657,-6.847,-7.325,-7.974,-8.465,-8.553
1050,2.28,0.92,175.0,-9.645,1191535.25,-10.19,-8.915,-8.94,-10.113,-10.579,-11.218,-11.711,-11.791
1051,1.07,12.5,146.42,-4.152,6885.75,-4.931,-3.901,-3.688,-4.523,-4.908,-5.451,-5.87,-5.949
1052,1.17,11.7,175.0,-7.953,226106.67,-8.524,-7.165,-7.214,-8.439,-8.927,-9.598,-10.112,-10.2
1053,1.15,2.45,34.74,-2.274,1496.68,-2.837,-1.492,-1.535,-2.761,-3.249,-3.913,-4.42,-4.511
1054,0.73,32.9,175.0,-8.247,317500.84,-8.796,-7.482,-7.524,-8.724,-9.205,-9.862,-10.361,-10.447
1055,1.66,0.91,41.92,-2.278,1535.02,-2.832,-1.507,-1.547,-2.762,-3.245,-3.898,-4.392,-4.482
1056,2.37,0.24,56.86,-4.473,8819.93,-5.047,-3.632,-3.709,-4.973,-5.471,-6.152,-6.672,-6.762
1057,1.32,4.49,93.44,-4.257,9084.77,-4.8,-3.521,-3.55,-4.73,-5.205,-5.849,-6.337,-6.425
1058,1.6,1.86,73.69,-5.62,27730.22,-6.172,-4.844,-4.892,-6.103,-6.586,-7.243,-7.743,-7.831
1059,2.22,0.44,73.81,-2.694,1938.93,-3.216,-1.989,-2.003,-3.155,-3.618,-4.244,-4.713,-4.797
1060,0.78,29.25,175.0,-6.692,74859.32,-7.255,-5.9,-5.951,-7.182,-7.672,-8.337,-8.845,-8.935
1061,1.75,3.12,175.0,-5.707,30449.76,-6.273,-5.114,-5.089,-6.143,-6.594,-7.211,-7.689,-7.774
1062,1.56,1.49,54.17,-4.054,7551.66,-4.6,-3.306,-3.334,-4.531,-5.009,-5.658,-6.149,-6.237
1063,1.87,1.07,79.94,-4.08,6760.39,-4.669,-3.254,-3.324,-4.583,-5.086,-5.776,-6.307,-6.399
1064,1.48,5.85,175.0,-7.761,204272.08,-8.31,-6.991,-7.033,-8.24,-8.719,-9.375,-9.876,-9.964
1065,1.19,11.17,175.0,-7.623,175648.14,-8.181,-6.843,-6.889,-8.108,-8.592,-9.255,-9.763,-9.852
1066,1.13,12.88,175.0,-5.432,25058.14,-5.967,-4.703,-4.729,-5.901,-6.371,-7.01,-7.489,-7.576
1067,1.82,1.37,90.34,-4.763,13032.34,-5.319,-4.003,-4.041,-5.245,-5.728,-6.387,-6.89,-6.979
1068,0.7,8.23,41.14,-2.247,1384.62,-2.767,-1.556,-1.575,-2.7,-3.158,-3.779,-4.246,-4.332
1069,2.12,0.98,129.4,-7.482,145162.97,-8.047,-6.681,-6.741,-7.972,-8.458,-9.123,-9.633,-9.722
1070,1.82,0.79,52.08,-2.452,1393.69,-2.962,-1.746,-1.776,-2.905,-3.363,-3.979,-4.441,-4.523
1071,1.68,3.54,170.79,-5.045,17863.46,-5.571,-4.336,-4.354,-5.506,-5.972,-6.6,-7.074,-7.16
1072,1.96,0.92,84.61,-3.438,3585.72,-4.02,-2.576,-2.658,-3.945,-4.445,-5.135,-5.651,-5.75
1073,1.06,15.23,175.0,-7.642,181355.89,-8.197,-6.868,-6.912,-8.125,-8.606,-9.265,-9.77,-9.859
1074,0.65,21.52,97.04,-7.495,156137.42,-8.069,-6.742,-6.772,-7.978,-8.457,-9.116,-9.622,-9.711
1075,0.52,20.75,68.85,-4.726,12651.89,-5.278,-3.967,-4.007,-5.206,-5.687,-6.342,-6.841,-6.929
1076,1.7,1.33,66.2,-2.174,1164.62,-2.667,-1.541,-1.533,-2.61,-3.051,-3.642,-4.079,-4.159
1077,1.29,9.05,175.0,-9.977,1619336.88,-10.519,-9.235,-9.265,-10.441,-10.911,-11.555,-12.052,-12.132
1078,2.31,0.66,133.67,-3.588,4765.01,-4.132,-2.876,-2.89,-4.057,-4.529,-5.171,-5.659,-5.746
1079,1.52,3.15,103.22,-4.103,6697.16,-4.656,-3.316,-3.371,-4.586,-5.071,-5.731,-6.233,-6.321
1080,1.13,6.32,85.31,-6.404,57121.96,-6.958,-5.624,-5.673,-6.888,-7.371,-8.031,-8.53,-8.618
1081,0.59,45.46,175.0,-7.077,110957.06,-7.626,-6.32,-6.356,-7.556,-8.035,-8.683,-9.179,-9.267
1082,0.76,30.27,175.0,-7.138,122976.16,-7.672,-6.418,-6.438,-7.606,-8.075,-8.707,-9.187,-9.274
1083,0.78,29.36,175.0,-5.47,21644.98,-6.053,-4.608,-4.694,-5.978,-6.48,-7.171,-7.697,-7.789
1084,1.54,5.08,175.0,-9.251,817736.0,-9.807,-8.523,-8.547,-9.722,-10.194,-10.838,-11.334,-11.416
1085,1.53,4.68,159.19,-7.739,196901.98,-8.287,-6.967,-7.01,-8.218,-8.697,-9.353,-9.854,-9.942
1086,1.45,6.18,175.0,-7.831,218546.16,-8.383,-7.093,-7.122,-8.303,-8.778,-9.429,-9.927,-10.016
1087,1.51,5.3,171.08,-5.002,17337.32,-5.54,-4.264,-4.29,-5.474,-5.948,-6.59,-7.074,-7.161
1088,1.06,13.82,158.6,-6.953,97898.38,-7.509,-6.184,-6.226,-7.436,-7.921,-8.577,-9.079,-9.168
1089,2.16,1.22,175.0,-8.952,602460.94,-9.501,-8.197,-8.236,-9.428,-9.907,-10.555,-11.054,-11.137
1090,1.86,2.44,175.0,-9.165,754781.25,-9.709,-8.409,-8.447,-9.64,-10.116,-10.761,-11.256,-11.338
1091,1.87,2.38,175.0,-8.968,614773.75,-9.523,-8.225,-8.258,-9.443,-9.921,-10.569,-11.067,-11.151
1092,1.06,15.26,175.0,-7.02,103799.7,-7.568,-6.262,-6.299,-7.498,-7.979,-8.627,-9.121,-9.21
1093,2.42,0.67,174.06,-6.19,45749.67,-6.796,-5.488,-5.49,-6.666,-7.146,-7.804,-8.309,-8.398
1094,2.22,1.06,175.0,-6.42,58125.49,-6.974,-5.646,-5.692,-6.903,-7.387,-8.045,-8.544,-8.633
1095,1.87,2.34,175.0,-7.496,158266.2,-8.045,-6.778,-6.799,-7.966,-8.433,-9.073,-9.561,-9.648
1096,1.18,11.6,175.0,-7.939,230656.34,-8.504,-7.166,-7.208,-8.42,-8.904,-9.568,-10.078,-10.166
1097,1.85,0.61,43.08,-2.209,1459.73,-2.708,-1.579,-1.565,-2.646,-3.089,-3.682,-4.122,-4.205
1098,1.32,3.81,80.13,-3.956,6047.56,-4.498,-3.199,-3.238,-4.432,-4.909,-5.556,-6.047,-6.133
1099,0.99,4.14,40.46,-3.088,2800.82,-3.674,-2.256,-2.329,-3.591,-4.091,-4.779,-5.307,-5.398
1100,1.93,1.01,84.99,-2.835,2646.68,-3.329,-2.232,-2.202,-3.266,-3.704,-4.288,-4.719,-4.801
1101,1.32,8.41,175.0,-8.346,336045.22,-8.908,-7.547,-7.605,-8.834,-9.323,-9.995,-10.506,-10.594
1102,1.0,17.69,175.0,-9.859,1450979.75,-10.4,-9.112,-9.145,-10.327,-10.797,-11.442,-11.94,-12.02
1103,0.83,25.99,175.0,-9.596,1120551.12,-10.146,-8.857,-8.886,-10.067,-10.536,-11.181,-11.678,-11.76
1104,1.04,8.13,88.38,-3.841,5546.45,-4.362,-3.151,-3.163,-4.297,-4.757,-5.379,-5.848,-5.932
1105,0.59,36.33,140.03,-5.654,28519.13,-6.208,-4.876,-4.926,-6.137,-6.621,-7.279,-7.781,-7.869
1106,0.56,44.89,164.18,-4.885,13343.3,-5.464,-4.058,-4.126,-5.385,-5.885,-6.569,-7.094,-7.185
1107,0.71,24.48,126.54,-7.431,143825.81,-8.006,-6.67,-6.705,-7.916,-8.397,-9.056,-9.567,-9.656
1108,1.97,1.86,175.0,-6.517,68153.27,-7.064,-5.781,-5.808,-6.992,-7.469,-8.117,-8.609,-8.697
1109,2.21,0.38,62.2,-3.788,5579.15,-4.306,-3.101,-3.109,-4.243,-4.702,-5.321,-5.786,-5.87
1110,1.42,6.6,175.0,-9.426,963023.94,-9.973,-8.702,-8.725,-9.894,-10.36,-10.998,-11.488,-11.569
1111,1.96,1.81,167.14,-6.008,40546.3,-6.553,-5.255,-5.294,-6.484,-6.961,-7.61,-8.102,-8.189
1112,0.65,34.91,155.64,-4.276,8247.88,-4.832,-3.495,-3.54,-4.761,-5.247,-5.908,-6.409,-6.499
1113,1.12,13.21,175.0,-7.123,113243.95,-7.68,-6.357,-6.398,-7.606,-8.089,-8.745,-9.249,-9.338
1114,1.5,2.24,70.49,-6.648,74750.7,-7.197,-5.889,-5.927,-7.127,-7.607,-8.258,-8.753,-8.841
1115,1.56,3.96,143.28,-4.597,12640.72,-5.107,-3.937,-3.935,-5.044,-5.495,-6.103,-6.556,-6.64
1116,1.1,3.28,41.69,-3.189,2906.03,-3.722,-2.445,-2.476,-3.66,-4.133,-4.772,-5.252,-5.338
1117,1.12,6.05,80.54,-2.364,1740.28,-2.858,-1.755,-1.729,-2.796,-3.234,-3.82,-4.252,-4.334
1118,1.95,1.96,175.0,-7.135,105173.13,-7.711,-6.306,-6.375,-7.635,-8.133,-8.811,-9.332,-9.423
1119,1.93,0.76,65.21,-2.624,1958.02,-3.16,-1.884,-1.912,-3.095,-3.569,-4.209,-4.691,-4.778
1120,1.61,3.95,161.88,-6.478,61130.16,-7.039,-5.692,-5.742,-6.966,-7.454,-8.119,-8.625,-8.715
1121,1.9,1.71,134.87,-7.188,111977.83,-7.748,-6.406,-6.457,-7.672,-8.155,-8.81,-9.313,-9.402
1122,1.99,0.7,68.52,-5.343,22574.13,-5.897,-4.573,-4.614,-5.826,-6.31,-6.968,-7.469,-7.557
1123,0.86,6.9,50.35,-4.698,12167.51,-5.257,-3.916,-3.964,-5.184,-5.671,-6.335,-6.841,-6.93
1124,0.87,10.93,80.88,-6.991,102124.19,-7.551,-6.301,-6.305,-7.457,-7.925,-8.56,-9.044,-9.131
1125,1.46,3.83,110.05,-6.583,68071.18,-7.123,-5.837,-5.872,-7.056,-7.531,-8.174,-8.66,-8.748
1126,0.78,7.06,42.79,-2.115,1130.86,-2.641,-1.379,-1.409,-2.583,-3.052,-3.685,-4.158,-4.242
1127,0.93,10.21,86.39,-3.299,3440.55,-3.888,-2.467,-2.532,-3.805,-4.309,-4.999,-5.53,-5.622
1128,1.6,4.35,175.0,-6.554,67367.68,-7.149,-5.841,-5.847,-7.03,-7.509,-8.162,-8.66,-8.749
1129,0.96,9.09,83.38,-4.878,14413.23,-5.432,-4.106,-4.15,-5.361,-5.844,-6.502,-7.003,-7.091
1130,1.79,1.95,121.37,-3.356,3977.59,-3.892,-2.634,-2.652,-3.826,-4.296,-4.932,-5.412,-5.498
1131,1.1,14.02,175.0,-8.71,495197.19,-9.26,-7.947,-7.989,-9.188,-9.669,-10.324,-10.825,-10.91
1132,0.53,44.13,151.01,-5.397,22720.99,-5.948,-4.626,-4.671,-5.878,-6.36,-7.016,-7.514,-7.602
1133,2.25,0.7,124.07,-4.546,12405.04,-5.065,-3.875,-3.874,-4.999,-5.456,-6.072,-6.535,-6.62
1134,2.07,1.47,175.0,-7.135,106881.59,-7.737,-6.403,-6.423,-7.616,-8.1,-8.761,-9.271,-9.361
1135,0.91,18.4,148.79,-6.429,60068.88,-6.987,-5.656,-5.7,-6.914,-7.399,-8.061,-8.563,-8.653
1136,1.39,6.09,149.79,-4.872,13505.36,-5.412,-4.119,-4.158,-5.346,-5.821,-6.467,-6.956,-7.042
1137,0.83,10.92,74.44,-2.232,1236.93,-2.769,-1.48,-1.513,-2.707,-3.182,-3.825,-4.309,-4.394
1138,0.96,19.31,175.0,-6.459,59381.29,-7.021,-5.68,-5.728,-6.946,-7.433,-8.098,-8.605,-8.694
1139,1.04,3.55,39.09,-2.075,1325.33,-2.57,-1.467,-1.438,-2.508,-2.947,-3.534,-3.967,-4.048
1140,1.39,7.12,175.0,-6.552,72643.59,-7.1,-5.814,-5.841,-7.028,-7.505,-8.153,-8.645,-8.733
1141,0.95,19.85,175.0,-6.249,50354.13,-6.801,-5.483,-5.525,-6.73,-7.212,-7.869,-8.367,-8.455
1142,2.15,1.24,175.0,-6.213,47401.42,-6.779,-5.409,-5.469,-6.705,-7.197,-7.868,-8.379,-8.469
1143,2.05,0.41,45.42,-3.657,4732.89,-4.206,-2.899,-2.934,-4.136,-4.616,-5.268,-5.763,-5.851
1144,1.61,4.28,175.0,-7.738,198425.64,-8.319,-6.997,-7.019,-8.217,-8.697,-9.355,-9.861,-9.95
1145,1.51,1.0,31.97,-3.679,4805.8,-4.252,-2.881,-2.934,-4.173,-4.667,-5.342,-5.86,-5.95
1146,1.8,2.77,175.0,-6.972,92902.72,-7.552,-6.227,-6.255,-7.454,-7.938,-8.597,-9.103,-9.193
1147,1.29,8.88,175.0,-7.074,106273.37,-7.644,-6.351,-6.37,-7.549,-8.026,-8.674,-9.171,-9.259
1148,1.49,3.51,107.71,-3.314,3309.62,-3.838,-2.594,-2.623,-3.776,-4.241,-4.87,-5.343,-5.428
1149,1.58,4.66,175.0,-7.3,130584.74,-7.845,-6.542,-6.582,-7.777,-8.253,-8.899,-9.392,-9.48
1150,0.98,11.85,113.74,-3.901,6085.3,-4.448,-3.139,-3.179,-4.379,-4.859,-5.511,-6.005,-6.093
1151,1.01,16.98,175.0,-6.431,52684.63,-7.01,-5.586,-5.665,-6.933,-7.434,-8.119,-8.643,-8.734
1152,0.89,15.53,120.6,-5.651,26533.48,-6.215,-4.853,-4.912,-6.141,-6.63,-7.301,-7.809,-7.9
